question_id ;question_english;correct_answer_english;incorrect_answer_1_english;incorrect_answer_2_english;incorrect_answer_3_english;question_french;correct_answer_french;incorrect_answer_1_french;incorrect_answer_2_french;incorrect_answer_3_french
A-002-009-002;What are the principal frequencies that appear at the output of a mixer circuit?;The original frequencies and the sum and difference frequencies;1.414 and 0.707 times the input frequencies;The sum, difference and square root of the input frequencies;Two and four times the original frequency;Quelles sont les principales fréquences obtenues à la sortie d'un mélangeur?;Les fréquences originales et les fréquences représentant la somme et la différence des fréquences originales;1,414 et 0,707 fois les fréquences originales;La somme, la différence et la racine carrée des fréquences d'entrée;Deux et quatre fois la fréquence d'entrée
A-002-009-003;What occurs when an excessive amount of signal energy reaches the mixer circuit?;Spurious signals are generated;Automatic limiting occurs;A beat frequency is generated;Mixer blanking occurs;Qu'est-ce qui se passe si le signal d'entrée d'un mélangeur est d'amplitude trop élevée?;Il y a production de signaux indésirables;Il se produit une limitation automatique;Une fréquence de battement est produite;Le mélangeur tombe en suppression
A-002-009-004;In a frequency multiplier circuit, the input signal is coupled to the base of a transistor through a capacitor. A radio frequency choke is connected between the base of the transistor and ground. The capacitor is:;a DC blocking capacitor;part of the input tuned circuit;a by-pass for the circuit;part of the output tank circuit;Dans un multiplicateur de fréquence, le signal d'entrée est couplé à la base d'un transistor au moyen d'un condensateur. Une bobine d'arrêt RF est connectée entre la base du transistor et la masse. Le condensateur est :;un condensateur de blocage CC;une partie du circuit résonant d'entrée;un condensateur de découplage pour le circuit;une partie du circuit résonant parallèle de sortie
A-002-009-005;A frequency multiplier circuit must be operated in:;class C;class AB;class B;class A;On doit faire fonctionner un multiplicateur de fréquence en :;classe C;classe AB;classe B;classe A
A-002-009-006;In a frequency multiplier circuit, an inductance (L1) and a variable capacitor (C2) are connected in series between VCC+ and ground. The collector of a transistor is connected to a tap on L1. The purpose of the variable capacitor is to:;tune L1 to the desired harmonic;by-pass RF;tune L1 to the frequency applied to the base;provide positive feedback;Dans un multiplicateur de fréquence, une bobine (L1) et un condensateur variable (C2) sont reliés en série entre VCC+ et la masse. Le collecteur d'un transistor est connecté à une prise sur L1. Le condensateur variable sert à :;accorder L1 sur l'harmonique désirée;effectuer le découplage RF;accorder L1 sur la fréquence appliquée à la base;fournir une rétroaction positive
A-002-009-007;In a frequency multiplier circuit, an inductance (L1) and a variable capacitor (C2) are connected in series between VCC+ and ground. The collector of a transistor is connected to a tap on L1. A fixed capacitor (C3) is connected between the VCC+ side of L1 and ground. The purpose of C3 is to:;provide an RF ground at the VCC connection point of L1;form a pi filter with L1 and C2;resonate with L1;by-pass any audio components;Dans un multiplicateur de fréquence, une bobine (L1) et un condensateur variable (C2) sont reliés en série entre VCC+ et la masse. Le collecteur d'un transistor est connecté à une prise sur L1. Un condensateur fixe (C3) est connecté entre le côté VCC+ de L1 et la masse. C3 sert à :;sert de mise à la masse RF du côté alimentation de la bobine L1;former un filtre en pi avec L1 et C2;entrer en résonance avec L1;sert de dérivation audio
A-002-009-008;In a frequency multiplier circuit, an inductance (L1) and a variable capacitor (C2) are connected in series between VCC+ and ground. The collector of a transistor is connected to a tap on L1. C2 in conjunction with L1 operate as a:;frequency multiplier;frequency divider;voltage divider;voltage doubler;Dans un multiplicateur de fréquence, une bobine (L1) et un condensateur variable (C2) sont reliés en série entre VCC+ et la masse. Le collecteur d'un transistor est connecté à une prise sur L1. L'ensemble C2 et L1 sert de :;multiplicateur de fréquence;diviseur de fréquence;diviseur de tension;doubleur de tension
A-002-009-009;In a circuit where the components are tuned to resonate at a higher frequency than applied, the circuit is most likely a:;a frequency multiplier;a VHF/UHF amplifier;a linear amplifier;a frequency divider;Un circuit dont les composants sont accordés pour résonner à une fréquence plus élevée que la fréquence appliquée est vraisemblablement :;un multiplicateur de fréquence;un amplificateur VHF/UHF;un amplificateur linéaire;un diviseur de fréquence
A-002-009-010;In a frequency multiplier circuit, an inductance (L1) and a variable capacitor (C2) are connected in series between VCC+ and ground. The collector of a transistor is connected to a tap on L1. A fixed capacitor (C3) is connected between the VCC+ side of L1 and ground. C3 is a:;RF by-pass capacitor;DC blocking capacitor;tuning capacitor;coupling capacitor;Dans un multiplicateur de fréquence, une bobine (L1) et un condensateur variable (C2) sont reliés en série entre VCC+ et la masse. Le collecteur d'un transistor est connecté à une prise sur L1. Un condensateur fixe (C3) est connecté entre le côté VCC+ de L1 et la masse. C3 est un :;condensateur de découplage RF;condensateur de blocage CC;condensateur d'accord;condensateur de couplage
A-002-009-011;What stage in a transmitter would change a 5.3-MHz input signal to 14.3 MHz?;A mixer;A linear translator;A frequency multiplier;A beat frequency oscillator;Quel étage d'un émetteur peut changer une fréquence d'entrée de 5,3 MHz en une fréquence de sortie de 14,3 MHz?;Un mélangeur;Un traducteur linéaire;Un multiplicateur de fréquence;Un oscillateur de battement
A-002-010-001;What is a NAND gate?;A circuit that produces a logic "0" at its output only when all inputs are logic "1";A circuit that produces a logic "1" at its output only when all inputs are logic "1";A circuit that produces a logic "0" at its output if some but not all of its inputs are logic "1";A circuit that produces a logic "0" at its output only when all inputs are logic "0";Qu'est-ce qu'un circuit logique à porte NON-ET ("NAND gate")?;Un circuit qui produit une sortie logique "0" seulement quand toutes les entrées logiques sont "1";Un circuit qui produit une sortie logique "1" seulement quand toutes les entrées logiques sont "1";Un circuit qui produit une sortie logique "0" si quelques-unes (mais non toutes) des entrées logiques sont "1";Un circuit qui produit une sortie logique "0" seulement quand toutes les entrées logiques sont "0"
A-002-010-002;What is an OR gate?;A circuit that produces a logic "1" at its output if any input is logic "1";A circuit that produces a logic "0" at its output if all inputs are logic "1";A circuit that produces logic "1" at its output if all inputs are logic "0";A circuit that produces a logic "0" at its output if any input is logic "1";Qu'est-ce qu'un circuit logique à porte OU ("OR gate")?;Un circuit qui produit une sortie logique "1" si une des entrées logiques est "1";Un circuit qui produit une sortie logique "0" si toutes les entrées logiques sont "1";Un circuit qui produit une sortie logique "1" si toutes les entrées logiques sont "0";Un circuit qui produit une sortie logique "0" si une des entrées logiques est "1"
A-002-010-003;What is a NOR gate?;A circuit that produces a logic "0" at its output if any or all inputs are logic "1";A circuit that produces a logic "0" at its output only if all inputs are logic "0";A circuit that produces a logic "1" at its output only if all inputs are logic "1";A circuit that produces a logic "1" at its output if some but not all of its inputs are logic "1";Qu'est-ce qu'un circuit logique à porte NON-OU ("NOR gate")?;Un circuit qui produit une sortie logique "0" si une des entrées logiques (ou toutes) est "1";Un circuit qui produit une sortie logique "0" seulement quand toutes les entrées logiques sont "0";Un circuit qui produit une sortie logique "1" seulement quand toutes les entrées logiques sont "1";Un circuit qui produit une sortie logique "1" si quelques-unes (mais non toutes) des entrées logiques sont "1"
A-002-010-004;What is a NOT gate (also known as an INVERTER)?;A circuit that produces a logic "0" at its output when the input is logic "1";A circuit that does not allow data transmission when its input is high;A circuit that allows data transmission only when its input is high;A circuit that produces a logic "1" at its output when the input is logic "1";Qu'est-ce qu'un circuit logique à porte NON, aussi dit INVERSEUR ("NOT gate" ou "INVERTER gate")?;Un circuit qui produit une sortie logique "0" quand l'entrée logique est "1";Un circuit qui ne permet pas la transmission de données quand son entrée est au niveau logique "1";Un circuit qui permet la transmission de données quand son entrée est au niveau logique "1";Un circuit qui produit une sortie logique "1" quand l'entrée logique est "1"
A-002-010-005;What is an EXCLUSIVE OR gate?;A circuit that produces a logic "1" at its output when only one of the inputs is logic "1";A circuit that produces a logic "0" at its output when only one of the inputs is logic "1";A circuit that produces a logic "1" at its output when all of the inputs are logic "1";A circuit that produces a logic "1" at its output when all of the inputs are logic "0";En quoi consiste une porte OU exclusif ("XOR gate")?;Un circuit qui produit un niveau "1" à sa sortie lorsqu'une seule de ses entrées est au niveau "1";Un circuit qui produit un niveau "0" à sa sortie lorsqu'une seule de ses entrées est au niveau "1";Un circuit qui produit un niveau "1" à sa sortie lorsque toutes ses entrées sont au niveau "1";Un circuit qui produit un niveau "1" à sa sortie lorsque toutes ses entrées sont au niveau "0"
A-002-010-006;What is an EXCLUSIVE NOR gate?;A circuit that produces a logic "1" at its output when all of the inputs are logic "1";A circuit that produces a logic "1" at its output when only one of the inputs is logic "0";A circuit that produces a logic "1" at its output when only one of the inputs are logic "1";A circuit that produces a logic "0" at its output when all of the inputs are logic "1";En quoi consiste une porte NON-OU exclusif ("XNOR gate")?;Un circuit qui produit un niveau "1" à sa sortie lorsque toutes ses entrées sont au niveau "1";Un circuit qui produit un niveau "1" à sa sortie lorsqu'une seule de ses entrées est au niveau "0";Un circuit qui produit un niveau "1" à sa sortie lorsqu'une seule de ses entrées est au niveau "1";Un circuit qui produit un niveau "0" à sa sortie lorsque toutes ses entrées sont au niveau "1"
A-002-010-007;What is an AND gate?;A circuit that produces a logic "1" at its output only if all its inputs are logic "1";A circuit that produces a logic "1" at the output if at least one input is a logic "0";A circuit that produces a logic "1" at its output only if one of its inputs is logic "1";A circuit that produces a logic "1" at its output if all inputs are logic "0";Qu'est-ce qu'un circuit logique à porte ET ("AND gate")?;Un circuit qui produit une sortie logique "1" si toutes les entrées logiques sont "1";Un circuit qui produit une sortie logique "1" si au moins une entrée est au niveau "0";Un circuit qui produit une sortie logique "1" si une seule des entrées logiques est "1";Un circuit qui produit une sortie logique "1" si toutes les entrées logiques sont "0"
A-002-010-008;What is a flip-flop circuit?;A binary sequential logic element with two stable states;A binary sequential logic element with eight stable states;A binary sequential logic element with four stable states;A binary sequential logic element with one stable state;Qu'est-ce qu'un circuit à bascule ("flip-flop")?;Un circuit logique à séquence binaire, permettant deux états stables;Un circuit logique à séquence binaire, permettant huit états stables;Un circuit logique à séquence binaire, permettant quatre états stables;Un circuit logique à séquence binaire, permettant un état stable
A-002-010-009;What is a bistable multivibrator?;A flip-flop;An OR gate;An AND gate;A clock;Qu'est-ce qu'un multivibrateur bistable?;Un circuit à bascule ("flip-flop");Un circuit à porte OU;Un circuit à porte ET;Une horloge
A-002-010-010;What type of digital logic is also known as a latch?;A flip-flop;A decade counter;An OR gate;An op-amp;Quel type de circuit logique est aussi connu sous le nom de circuit à verrouillage ("latch")?;Le circuit à bascule ("flip-flop");Le compteur à décade;Le circuit à porte OU;L'amplificateur opérationnel
A-002-010-011;In a multivibrator circuit, when one transistor conducts, the other is:;cut off;saturated;reverse-biased;forward-biased;Dans un multivibrateur, lorsqu'un transistor conduit, l'autre :;est en mode de coupure;est en mode de saturation;est en polarisation inverse;est en polarisation directe
A-002-011-001;What is a crystal lattice filter?;A filter with narrow bandwidth and steep skirts made using quartz crystals;A filter with wide bandwidth and shallow skirts made using quartz crystals;An audio filter made with four quartz crystals that resonate at 1 kHz intervals;A power supply filter made with interlaced quartz crystals;Qu'est-ce qu'un filtre en treillis à quartz ("lattice filter")?;Un filtre à bande étroite et à pente raide composé de cristaux de quartz;Un filtre à bande large et à pente douce composé de cristaux de quartz;Un filtre audio fabriqué avec quatre cristaux de quartz qui résonnent à intervalles de 1 kHz;Un filtre pour bloc d'alimentation fabriqué avec des cristaux de quartz entrelacés
A-002-011-002;What factor determines the bandwidth and response shape of a crystal lattice filter?;The relative frequencies of the individual crystals;The centre frequency chosen for the filter;The gain of the RF stage following the filter;The amplitude of the signals passing through the filter;Quel facteur détermine la largeur de bande et la réponse d'un filtre en treillis à quartz ("lattice filter")?;La relation entre la fréquence de chaque cristal;La fréquence centrale choisie pour le filtre;Le gain de l'étage RF qui suit le filtre;L'amplitude des signaux qui traversent le filtre
A-002-011-003;For single-sideband phone emissions, what would be the bandwidth of a good crystal lattice filter?;2.4 kHz;15 kHz;500 Hz;6 kHz;Pour une émission à bande latérale unique en phonie, que devrait être la largeur de bande d'un bon filtre en treillis à quartz ("lattice filter")?;2,4 kHz;15 kHz;500 Hz;6 kHz
A-002-011-004;The main advantage of a crystal oscillator over a tuned LC oscillator is:;much greater frequency stability;longer life under severe operating use;freedom from harmonic emissions;simplicity;L'avantage principal d'un oscillateur à cristal par rapport à un oscillateur à circuit LC accordé est :;une stabilité beaucoup plus grande de la fréquence;une vie utile plus longue dans des conditions rigoureuses de fonctionnement;la suppression des rayonnements harmoniques;sa simplicité
A-002-011-005;A quartz crystal filter is superior to an LC filter for narrow bandpass applications because of the:;crystal's high Q;crystal's low Q;LC circuit's high Q;crystal's simplicity;Un filtre à cristal de quartz est supérieur à un filtre LC dans les applications à bande passante étroite à cause :;du facteur Q élevé du cristal;du faible facteur Q du cristal;du facteur Q élevé du circuit LC;de la simplicité du filtre à cristal
A-002-011-006;Piezoelectricity is generated by:;deforming certain crystals;touching crystals with magnets;adding impurities to a crystal;moving a magnet near a crystal;La piézo-électricité est produite en :;déformant certains cristaux;touchant des cristaux avec des aimants;ajoutant des impuretés à un cristal;déplaçant un aimant au voisinage d'un cristal
A-002-011-007;Electrically, what does a crystal look like?;A very high Q tuned circuit;A very low Q tuned circuit;A variable capacitance;A variable tuned circuit;Électriquement, à quoi ressemble un cristal?;Un circuit syntonisé dont le facteur Q est très élevé;Un circuit syntonisé dont le facteur Q est très faible;Une capacité variable;Un circuit syntonisé variable
A-002-011-008;Crystals are sometimes used in a circuit which has an output close to an integral multiple of the crystal frequency. This circuit is called:;an overtone oscillator;a crystal multiplier;a crystal lattice;a crystal ladder;Des cristaux sont parfois utilisés dans un circuit dont la sortie est proche d'un multiple de la fréquence du cristal. Ce circuit s'appelle :;un oscillateur en mode partiel ("overtone");un multiplicateur à cristal;un treillis à quartz;une échelle à quartz
A-002-011-009;Which of the following properties does not apply to a crystal when used in an oscillator circuit?;High power output;Good frequency stability;Very low noise because of high Q;Good frequency accuracy;Parmi les propriétés suivantes, laquelle ne s'applique pas au cristal lorsqu'il est utilisé dans un oscillateur?;Grande puissance de sortie;Bonne stabilité en fréquence;Peu de bruit parce que le facteur Q est élevé;Bonne précision de la fréquence
A-002-011-010;Crystal oscillators, filters and microphones depend upon which principle?;Piezoelectric effect;Hertzberg effect;Ferro-resonance;Overtone effect;Les oscillateurs, filtres et microphones à cristal fonctionnent sur le principe :;de l'effet piézo-électrique;de l'effet Hertzberg;de la ferrorésonance;du mode partiel ("overtone")
A-002-011-011;Crystals are not applicable to which of the following?;Active filters;Microphones;Lattice filters;Oscillators;Les cristaux ne s'appliquent pas aux :;filtres actifs;microphones;filtres en treillis ("lattice filter");oscillateurs
A-002-012-001;What are the three general groupings of filters?;High-pass, low-pass and band-pass;Hartley, Colpitts and Pierce;Audio, radio and capacitive;Inductive, capacitive and resistive;Quels sont les trois principaux groupes de filtres?;Passe-haut, passe-bas et passe-bande;Hartley, Colpitts et Pierce;Audio, radio et capacitif;Inductif, capacitif et résistif
A-002-012-002;What are the distinguishing features of a Butterworth filter?;It has a maximally flat response over its pass-band;The product of its series and shunt-element impedances is a constant for all frequencies;It only requires conductors;It only requires capacitors;Qu'est-ce qui distingue le filtre Butterworth?;Sa bande passante est d'une uniformité optimale;L'impédance des éléments en série et en parallèle est constante pour toutes les fréquences;Il ne requiert que des conducteurs;Il ne requiert que des condensateurs
A-002-012-003;Which filter type is described as having ripple in the passband and a sharp cutoff?;A Chebyshev filter;An active LC filter;A passive op-amp filter;A Butterworth filter;Quel type de filtre a des ondulations dans la bande passante et une pente abrupte?;Le filtre Tchebychev;Le filtre actif LC;Le filtre passif à amplificateur opérationnel;Le filtre Butterworth
A-002-012-004;What are the distinguishing features of a Chebyshev filter?;It allows ripple in the passband in return for steeper skirts;It requires only inductors;It requires only capacitors;It has a maximally flat response in the passband;Qu'est-ce qui distingue le filtre Tchebychev?;Il produit des ondulations dans la bande passante, mais ses pentes sont abruptes;Il ne requiert que des bobines;Il ne requiert que des condensateurs;Sa bande passante a une courbe de réponse rectiligne
A-002-012-005;Resonant cavities are used by amateurs as a:;narrow bandpass filter at VHF and higher frequencies;power line filter;low-pass filter below 30 MHz;high-pass filter above 30 MHz;Les radioamateurs utilisent des cavités résonantes comme :;filtre passe-bande étroit aux fréquences VHF et supérieures;filtre à l'alimentation du secteur;filtre passe-bas sous 30 MHz;filtre passe-haut au-dessus de 30 MHz
A-002-012-006;On VHF and above, 1/4 wavelength coaxial cavities are used to give protection from high-level signals. For a frequency of approximately 50 MHz, the diameter of such a device would be about 10 cm (4 in). What would be its approximate length?;1.5 metres (5 ft);0.6 metres (2 ft);2.4 metres (8 ft);3.7 metres (12 ft);En VHF et aux fréquences plus élevées, on utilise des cavités d'un quart de longueur d'onde pour protéger le récepteur contre les signaux de niveau élevé. Pour une fréquence de 50 MHz environ, le diamètre d'une telle cavité serait d'environ 10 cm (4 pouces). Quelle en serait la longueur approximative?;1,5 mètre (5 pieds);0,6 mètre (2 pieds);2,4 mètres (8 pieds);3,7 mètres (12 pieds)
A-002-012-007;A device which helps with receiver overload and spurious responses at VHF, UHF and above may be installed in the receiver front end. It is called a:;helical resonator;diplexer;directional coupler;duplexer;Pour un récepteur VHF et aux fréquences plus élevées, on peut installer, à l'étage d'entrée RF, un dispositif qui empêche la surcharge du récepteur et la réception de signaux non désirés. On l'appelle :;un résonateur hélicoïdal;un diplexeur;un coupleur directionnel;un duplexeur
A-002-012-008;Where you require bandwidth at VHF and higher frequencies about equal to a television channel, a good choice of filter is the:;none of the other answers;resonant cavity;Butterworth;Chebyshev;Aux fréquences VHF et supérieures, lorsque vous devez utiliser une largeur de bande presque égale à celle d'un canal de télévision, un bon choix de filtre serait :;aucune de ces réponses ne convient;la cavité résonante;le filtre Butterworth;le filtre Tchebychev
A-002-012-009;What is the primary advantage of the Butterworth filter over the Chebyshev filter?;It has maximally flat response over its passband;It allows ripple in the passband in return for steeper skirts;It requires only inductors;It requires only capacitors;Quel est le principal avantage du filtre Butterworth comparé au filtre Tchebychev?;La courbe de réponse de sa bande passante est la plus rectiligne;Il permet une ondulation dans sa bande passante, mais ses pentes sont abruptes;Seules des bobines sont utilisées;Seuls des condensateurs sont utilisés
A-002-012-010;What is the primary advantage of the Chebyshev filter over the Butterworth filter?;It allows ripple in the passband in return for steeper skirts;It requires only capacitors;It requires only inductors;It has maximally flat response over the passband;Quel est le principal avantage du filtre Tchebychev comparé au filtre Butterworth?;Il permet une ondulation dans sa bande passante, mais ses pentes sont abruptes;Seuls des condensateurs sont utilisés;Seules des bobines sont utilisées;La courbe de réponse de sa bande passante est la plus rectiligne
A-002-012-011;Which of the following filter types is not suitable for use at audio and low radio frequencies?;Cavity;Elliptical;Chebyshev;Butterworth;Il n'est pas souhaitable d'utiliser un des filtres suivants aux fréquences audio et aux basses fréquences radio. Lequel?;Cavité;Elliptique;Tchebychev;Butterworth
A-003-001-001;What is the easiest amplitude dimension to measure by viewing a pure sine wave on an oscilloscope?;Peak-to-peak voltage;Peak voltage;RMS voltage;Average voltage;Quelle est la valeur d'amplitude la plus facile à mesurer lorsqu'on analyse une onde sinusoïdale pure à l'oscilloscope?;La tension de crête à crête;La tension de crête;La tension efficace ("RMS");La tension moyenne
A-003-001-002;What is the RMS value of a 340 volt peak-to-peak pure sine wave?;120 volts;170 volts;240 volts;300 volts;Quelle est la valeur efficace ("RMS") de la tension d'une onde sinusoïdale dont la tension de crête à crête est de 340 volts?;120 volts;170 volts;240 volts;300 volts
A-003-001-003;What is the equivalent to the RMS value of an AC voltage?;The AC voltage causing the same heating of a given resistor as a DC voltage of the same value;The AC voltage found by taking the square root of the peak AC voltage;The DC voltage causing the same heating of a given resistor as the peak AC voltage;The AC voltage found by taking the square root of the average AC value;Quel est l'équivalent de la valeur efficace ("RMS") d'une tension alternative?;La tension CA qui dissipera la même chaleur dans une résistance que celle dissipée par une tension CC de même valeur;La tension CA obtenue en extrayant la racine carrée de la valeur de crête de la tension CA;La tension CC produisant la même chaleur dans une résistance que celle produite par la tension CA de crête;La tension CA, obtenue en extrayant la racine carrée de la valeur moyenne de la tension CA
A-003-001-004;If the peak value of a 100 Hz sinusoidal waveform is 20 volts, the RMS value is:;14.14 volts;28.28 volts;7.07 volts;16.38 volts;Pour une onde sinusoïdale de 100 Hz, si la tension de crête est de 20 volts, sa valeur efficace ("RMS") est de :;14,14 volts;28,28 volts;7,07 volts;16,38 volts
A-003-001-005;In applying Ohm's law to AC circuits, current and voltage values are:;peak values times 0.707;average values;average values times 1.414;none of the proposed answers;Quand on applique la loi d'Ohm aux circuits CA, les valeurs du courant et de la tension sont :;les valeurs de crête multipliées par 0,707;les valeurs moyennes;les valeurs moyennes multipliées par 1,414;aucune des réponses suggérées ne convient
A-003-001-006;The effective value of a sine wave of voltage or current is:;70.7% of the maximum value;50% of the maximum value;100% of the maximum value;63.6% of the maximum value;Pour une onde sinusoïdale, la valeur efficace de tension ou de courant mesure :;70,7 % de la valeur maximale;50 % de la valeur maximale;100 % de la valeur maximale;63,6 % de la valeur maximale
A-003-001-007;AC voltmeter scales are usually calibrated to read:;RMS voltage;peak voltage;instantaneous voltage;average voltage;Les échelles d'un voltmètre CA sont habituellement étalonnées pour donner :;la tension efficace ("RMS");la tension de crête;la tension instantanée;la tension moyenne
A-003-001-008;An AC voltmeter is calibrated to read the:;effective value;peak-to-peak value;average value;peak value;Un voltmètre à courant alternatif est étalonné pour indiquer la valeur :;efficace ("RMS");crête à crête;moyenne;de crête
A-003-001-009;Which AC voltage value will produce the same amount of heat as a DC voltage, when applied to the same resistance?;The RMS value;The average value;The peak value;The peak-to-peak value;La valeur de tension CA qui produit la même quantité de chaleur qu'une tension CC appliquée à une résistance s'appelle :;la valeur efficace ("RMS");la valeur moyenne;la valeur de crête;la valeur de crête à crête
A-003-001-010;What is the peak-to-peak voltage of a sine wave that has an RMS voltage of 120 volts?;339.5 volts;84.8 volts;169.7 volts;204.8 volts;Quelle est la tension crête à crête d'une onde sinusoïdale qui a une valeur efficace ("RMS") de 120 volts?;339,5 volts;84,8 volts;169,7 volts;204,8 volts
A-003-001-011;A sine wave of 17 volts peak is equivalent to how many volts RMS?;12 volts;24 volts;34 volts;8.5 volts;Une onde sinusoïdale dont la crête de tension est de 17 volts équivaut à quelle tension efficace ("RMS")?;12 volts;24 volts;34 volts;8,5 volts
A-003-002-001;The power supplied to the antenna transmission line by a transmitter during an RF cycle at the highest crest of the modulation envelope is known as:;peak-envelope power;mean power;carrier power;full power;La puissance fournie à la ligne de transmission par un émetteur durant un cycle RF à la plus haute crête de l'enveloppe de modulation s'appelle :;la puissance en crête de modulation;la puissance moyenne;la puissance porteuse;la pleine puissance
A-003-002-002;To compute one of the following, multiply the peak-envelope voltage by 0.707 to obtain the RMS value, square the result and divide by the load resistance. Which is the correct answer?;PEP;PIV;ERP;power factor;Pour calculer l'une des caractéristiques données dans les réponses ci-dessous, on multiplie la tension à la crête de l'enveloppe de modulation par 0,707 pour obtenir la valeur efficace ("RMS"), on élève le produit au carré et l'on divise le résultat par la résistance de charge. Quelle est la réponse correcte?;La puissance en crête de modulation;La tension inverse de crête;La puissance apparente rayonnée;Le facteur de puissance
A-003-002-003;Peak-Envelope Power (PEP) for SSB transmission is:;Peak-Envelope Voltage (PEV) multiplied by 0.707, squared and divided by the load resistance;peak-voltage multiplied by peak current;equal to the RMS power;a hypothetical measurement;En émission BLU, la puissance en crête de modulation ("PEP") est :;égale à la tension crête de l'enveloppe multipliée par 0,707, puis élevée au carré et le tout divisé par la résistance de la charge;égale à la tension crête de l'enveloppe multipliée par le courant;égale à la puissance efficace ("RMS");une mesure hypothétique
A-003-002-004;The formula to be used to calculate the power output of a transmitter into a resistor load using a voltmeter is:;P = (E exponent 2) /R;P = EI/R;P = EI cos 0;P = IR;Pour calculer la puissance de sortie d'un émetteur débitant dans une charge résistive lorsqu'on dispose d'un voltmètre, on emploie la formule :;P = (E exposant 2) / R;P = EI/R;P = EI cos 0;P = IR
A-003-002-005;How is the output Peak-Envelope Power of a transmitter calculated if an oscilloscope is used to measure the Peak-Envelope Voltage across a dummy resistive load (where PEP = Peak-Envelope Power, PEV = Peak-Envelope Voltage, Vp = peak-voltage, RL = load resistance)?;PEP = [(0.707 PEV)(0.707 PEV)] / RL;PEP = [(Vp)(Vp)] / (RL);PEP = (Vp)(Vp)(RL);PEP = [(1.414 PEV)(1.414 PEV)] / RL;Comment calcule-t-on la puissance en crête de modulation ("PEP") si un oscilloscope est utilisé pour mesurer la tension crête à la charge fictive d'un émetteur (PCM = puissance en crête de modulation, VCM = voltage en crête de modulation, Vc = voltage de crête, RC = résistance de charge)? ;PCM = [(0,707 VCM)(0,707 VCM)] / RC;PCM = [(Vc)(Vc)] / (RC);PCM = (Vc)(Vc)(RC);PCM = [(1,414 VCM)(1,414 VCM)] / RC
A-003-002-006;What is the output PEP from a transmitter if an oscilloscope measures 200 volts peak-to-peak across a 50-ohm dummy load connected to the transmitter output?;100 watts;400 watts;1000 watts;200 watts;Quelle est la puissance en crête de modulation ("PEP") mesurée à la sortie d'un émetteur si un oscilloscope indique qu'il y a 200 volts crête à crête qui circulent dans la charge fictive de 50 ohms reliée à la sortie de l'émetteur?;100 watts;400 watts;1 000 watts;200 watts
A-003-002-007;What is the output PEP from a transmitter if an oscilloscope measures 500 volts peak-to-peak across a 50-ohm dummy load connected to the transmitter output?;625 watts;1250 watts;2500 watts;500 watts;Quelle est la puissance en crête de modulation ("PEP") mesurée à la sortie d'un émetteur si un oscilloscope indique qu'il y a 500 volts crête à crête qui circulent dans la charge fictive de 50 ohms reliée à la sortie de l'émetteur?;625 watts;1 250 watts;2 500 watts;500 watts
A-003-002-008;What is the output PEP of an unmodulated carrier transmitter if a wattmeter connected to the transmitter output indicates an average reading of 1060 watts?;1060 watts;2120 watts;1500 watts;530 watts;Quelle est la puissance en crête de modulation ("PEP") mesurée à la sortie de l'émetteur dont la porteuse n'est pas modulée, si la lecture du wattmètre connecté à la sortie de l'émetteur indique une lecture moyenne de 1 060 watts?;1 060 watts;2 120 watts;1 500 watts;530 watts
A-003-002-009;What is the output PEP from a transmitter, if an oscilloscope measures 400 volts peak-to-peak across a 50 ohm dummy load connected to the transmitter output?;400 watts;200 watts;600 watts;1000 watts;Quelle est la puissance en crête de modulation ("PEP") d'un émetteur si un oscilloscope indique qu'il y a 400 volts crête à crête qui circulent dans la charge fictive de 50 ohms reliée à la sortie de l'émetteur?;400 watts;200 watts;600 watts;1 000 watts
A-003-002-010;What is the output PEP from a transmitter, if an oscilloscope measures 800 volts peak-to-peak across a 50 ohm dummy load connected to the transmitter output?;1600 watts;800 watts;6400 watts;3200 watts;Quelle est la puissance en crête de modulation ("PEP") d'un émetteur lorsqu'un oscilloscope mesure 800 volts crête à crête dans une charge fictive de 50 ohms reliée à la sortie de l'émetteur?;1 600 watts;800 watts;6 400 watts;3 200 watts
A-003-002-011;An oscilloscope measures 500 volts peak-to-peak across a 50 ohm dummy load connected to the transmitter output during unmodulated carrier conditions. What would an average-reading power meter indicate under the same transmitter conditions?;625 watts;427.5 watts;884 watts;442 watts;Un oscilloscope indique 500 volts crête à crête mesurés à une charge fictive de 50 ohms reliée à la sortie d'un émetteur lorsque la porteuse n'est pas modulée. Quelle serait la puissance moyenne mesurée dans les mêmes conditions?;625 watts;427,5 watts;884 watts;442 watts
A-003-003-001;What is a dip meter?;A variable frequency oscillator with metered feedback current;An SWR meter;A marker generator;A field-strength meter;Qu'est-ce qu'un ondemètre dynamique ("dip meter")?;Un oscillateur à fréquence variable dont le niveau d'activité peut être lu sur un indicateur;Un ROS mètre;Un générateur de points de repère;Un appareil pour mesurer la force du champ électromagnétique
A-003-003-002;What does a dip meter do?;It gives an indication of the resonant frequency of a circuit;It measures transmitter output power accurately;It measures field strength accurately;It measures frequency accurately;Quelle est l'utilité d'un ondemètre dynamique ("dip meter")?;Il indique la fréquence de résonance d'un circuit;Il mesure avec précision la puissance de sortie de l'émetteur;Il mesure avec précision la force du champ électromagnétique;Il mesure la fréquence avec précision
